Link Name,Template [listid],Opacity,Delay,User Control,Source,Campaign,Display Count,Signup Count,Conversion Rate,Linkid,URL,Preview Link,Active
Fudge,GeneralGetTastySmall,50,1,N,Google,Chirstmas,1238,203,16.40%,65731A96-9286-9BCF-3470-BE4A359EFA48,http://www.recipe4living.com/articles/18_fabulous_fudge_recipes.htm,http://www.recipe4living.com/articles/18_fabulous_fudge_recipes.htm?cid=65731A96-9286-9BCF-3470-BE4A359EFA48,Y
Gingerbread,GeneralGetTastySmall,50,1,N,Google,Chirstmas,1148,165,14.37%,0CEF5754-B05A-64C5-8F1B-4F42EAF4CC0B,http://www.recipe4living.com/articles/the_11_best_gingerbread_recipes_of_the_season.htm,http://www.recipe4living.com/articles/the_11_best_gingerbread_recipes_of_the_season.htm?cid=0CEF5754-B05A-64C5-8F1B-4F42EAF4CC0B,Y
Christmas Main,GeneralGetTastySmall,50,1,N,Google,Chirstmas,88,8,9.09%,29B3458E-DCD9-FC1D-0FAA-3C4AB3CBFE91,http://www.recipe4living.com/articles/prepare_a_delicious_traditional_christmas_dinner_for_your_family.htm,http://www.recipe4living.com/articles/prepare_a_delicious_traditional_christmas_dinner_for_your_family.htm?cid=29B3458E-DCD9-FC1D-0FAA-3C4AB3CBFE91,Y
Homemade Gifts,GeneralGetTastySmall,50,1,N,Google,Chirstmas,823,97,11.79%,B25EC02A-5568-CCDD-D7A2-3CC0A9EC04CD,http://www.recipe4living.com/articles/homemade_holiday_gifts_2.htm,http://www.recipe4living.com/articles/homemade_holiday_gifts_2.htm?cid=B25EC02A-5568-CCDD-D7A2-3CC0A9EC04CD,Y
Fruit Cake,GeneralGetTastySmall,50,1,N,Google,Chirstmas,619,46,7.43%,6A8B166F-2004-E5E0-A564-CB2E0E995186,http://www.recipe4living.com/recipes/black_fruit_cake.htm,http://www.recipe4living.com/recipes/black_fruit_cake.htm?cid=6A8B166F-2004-E5E0-A564-CB2E0E995186,Y
Eggnog,GeneralGetTastySmall,50,1,N,Google,Chirstmas,298,21,7.05%,AD6AEB6B-BFFF-D0F3-5ED2-5118A9EA8E3D,http://www.recipe4living.com/recipes/exquisite_egg_nog.htm,http://www.recipe4living.com/recipes/exquisite_egg_nog.htm?cid=AD6AEB6B-BFFF-D0F3-5ED2-5118A9EA8E3D,Y
Christmas,GeneralGetTastySmall,50,1,N,Google,Chirstmas,182,12,6.59%,85E0682E-0004-5FD5-B884-D517E194BC4B,http://www.recipe4living.com/articles/christmas_recipes_hints_videos.htm,http://www.recipe4living.com/articles/christmas_recipes_hints_videos.htm?cid=85E0682E-0004-5FD5-B884-D517E194BC4B,Y
Christmas Cookies,GeneralGetTastySmall,50,1,N,Google,Chirstmas,342,43,12.57%,4E0368E6-B874-0E3C-0573-F3FBD3B432CD,http://www.recipe4living.com/articles/100_christmas_cookie_recipes.htm,http://www.recipe4living.com/articles/100_christmas_cookie_recipes.htm?cid=4E0368E6-B874-0E3C-0573-F3FBD3B432CD,Y
Christmas Brunch,GeneralGetTastySmall,50,1,N,Google,Chirstmas,94,5,5.32%,CB0CEB86-B9D2-ED62-FA4D-0A390D525AE0,http://www.recipe4living.com/articles/14_christmas_brunch_recipes.htm,http://www.recipe4living.com/articles/14_christmas_brunch_recipes.htm?cid=CB0CEB86-B9D2-ED62-FA4D-0A390D525AE0,Y
Holiday Bread,GeneralGetTastySmall,50,1,N,Google,Chirstmas,461,49,10.63%,F1F36B82-0F40-A370-F795-56BAB2F571AE,http://www.recipe4living.com/articles/10_holiday_worthy_breads.htm,http://www.recipe4living.com/articles/10_holiday_worthy_breads.htm?cid=F1F36B82-0F40-A370-F795-56BAB2F571AE,Y
Holilday Cocktails,GeneralGetTastySmall,50,1,N,Google,Chirstmas,183,17,9.29%,F54D1436-7DCE-DF68-2707-1E07008854B2,http://www.recipe4living.com/articles/mix_up_a_holiday_cocktail_party.htm,http://www.recipe4living.com/articles/mix_up_a_holiday_cocktail_party.htm?cid=F54D1436-7DCE-DF68-2707-1E07008854B2,Y
